Startup,One liner,Website,Country,LinkedIn,Founded,Funding $m,Funding stage,Climate category,Climate subcategories,Stage,Investors,Team 1 Name,Team 1 LinkedIn,Team 1 Title,Team 2 Name,Team 2 LinkedIn,Team 2 Title,Team 3 Name,Team 3 LinkedIn,Team 3 Title,Team 4 Name,Team 4 LinkedIn,Team 4 Title,Team 5 Name,Team 5 LinkedIn,Team 5 Title,Team 6 Name,Team 6 LinkedIn,Team 6 Title
Bacuti,"A SaaS platform for sustainability reporting, helping companies to report their carbon emissions, including Scope 3",https://www.bacuticorp.com,India,https://www.linkedin.com/company/bacuti/about/,2024,,Pre-Seed,Climate management,Emissions reporting,R&D,,Rajesh S.,https://www.linkedin.com/in/rajeshsrinivasaraghavan/,Co-founder,,,,,,,,,,,,,,,
Hypersonic Technologies Pvt Ltd,"Innovating hydrogen and carbon fiber production through plasma pyrolysis technology to offer a scalable, low-carbon, and cost-effective solution for clean energy and material production.",https://hypersonics.in,India,,2023,,Pre-Seed,"Industry, Energy",Hydrogen,R&D,,Jayaraman Kandasamy,https://www.linkedin.com/in/jayaraman-kandasamy-a69b3627/,CEO & Director,,,,,,,,,,,,,,,
RangBio,"Eco-friendly, microbial bio-colors for textiles that slash pollution, water usage, and carbon emissions.",https://www.rangbio.com,India,,2022,,Seed,Industry,Textiles,R&D,,Revathi Ravishankar,https://www.linkedin.com/in/revathi-ravishankar-33b6ba48/,Founder and CEO,,,,,,,,,,,,,,,
EnergyETA,"Provides AI-driven IoT solutions for energy efficiency and predictive maintenance, optimizing energy use in commercial and industrial buildings.",https://www.energyeta.ai,India,https://www.linkedin.com/company/energyeta/about/,2022,,Pre-Seed,"Energy, Built environment",Energy efficiency,Pilot,,Satyanarayanan Seshadri,https://www.linkedin.com/in/satyaseshadri/,Co-founder and Director,Jayesh Jain,https://www.linkedin.com/in/jayeshprofile/,Co-founder and MD,Jagjit Singh,https://www.linkedin.com/in/saini-jagjit/,Co-founder,,,,,,,,,
BlackRhino,"Provides AI and automation-driven climate management solutions to help enterprises enhance sustainability efforts, improve resource efficiency, and boost brand reputation.",http://www.blackrhinoz.com,India,https://www.linkedin.com/company/blackrhino/about/,2023,,Pre-Seed,"Climate management, Carbon",Emissions reporting,Pilot,,,,,,,,,,,,,,,,,,,
Diffuson Coatech,"Transforming surface engineering with proprietary diffusion coatings, enhancing wear resistance and durability across industrial applications.",https://www.diffuson.in,India,https://www.linkedin.com/company/diffuson-coatech/about/,2020,,Pre-Seed,Industry,Manufacturing,Pilot,"PSG-Science and Technology Entrepreneurial Park (PSG-STEP), Startup Nexus",Atul SC,https://www.linkedin.com/in/scatul/,Founder and CEO,,,,,,,,,,,,,,,
Carbon Compete,Decarbonization with AI-driven SaaS for end-to-end supply chain transparency,https://carboncompete.com,India,https://www.linkedin.com/company/carboncompete/about/,2022,0.108,Pre-Seed,"Climate management, Carbon",Carbon removal,Pilot,,Sundar Kannan,https://www.linkedin.com/in/sundar-kannan-494b072/,Founder and CEO,Vishwakarma J S,https://www.linkedin.com/in/vishwakarmajs/,CSO,,,,,,,,,,,,
MetroRide Kids,"Safe, reliable electric mobility tailored for kids with IoT-enabled vehicles and stringent processes",https://kids.metroride.com,India,https://www.linkedin.com/company/metrorideind/about/,2020,16.8,Series A,Transportation,Micromobility,Scale-up,,Girish Nagpal,https://www.linkedin.com/in/girishnagpal/,Co-founder and CEO,Kaaman Agarwal,https://www.linkedin.com/in/kaaman/,Co-founder and CTO,,,,,,,,,,,,
VAPAC,"A sustainable packaging solution utilizing agricultural waste, including coffee husks, to produce eco-friendly corrugated cardboard and reduce deforestation and carbon emissions.",https://www.vapac.in,India,https://www.linkedin.com/company/vapac-bio-plastics/,2022,,Pre-Seed,Industry,Packaging,R&D,,Vikas Shetty,,,,,,,,,,,,,,,,,
Scrapify Ecotech Pvt. Ltd,"Developing autonomous water drones with AI-based navigation and real-time monitoring for efficient cleaning of water bodies, including waste collection, oil spill skimming, and algae bloom control.",https://scrapifyecotech.in,India,https://www.linkedin.com/company/scrapify-ecotech-private-limited/about/,2022,0.021,Seed,Industry,"Waste & recycling, Wastewater",Prototype,"Crescent Innovation and Incubation Council (CIIC), PSG-Science and Technology Entrepreneurial Park (PSG-STEP)",Azhagu Pandia Raja M P,https://www.linkedin.com/in/azhagu/,Founder & CEO,,,,,,,,,,,,,,,
GreenJams,"Produces Agrocrete®, a carbon-negative building material made from crop residues and industrial by-products, offering a sustainable alternative to traditional concrete.",https://greenjams.org,India,https://www.linkedin.com/company/thegreenjams/about/,2019,0.369,Seed,"Carbon, Built environment","Carbon removal, Construction",Pilot,"Villgro, ClimateLaunchpad, Leading Cities",Tarun Jami,https://www.linkedin.com/in/tarunjami/,Founder and CEO,,,,,,,,,,,,,,,
Kaashyap,"Produces BioCNG from organic waste and treats wastewater for reuse, focusing on renewable energy and sustainability initiatives across India and Malaysia.",https://kaashyapenvergy.com,India,,2018,,Seed,Industry,"Waste & recycling, Wastewater",Pilot,,Kiran KK,,,,,,,,,,,,,,,,,
Thaal Innovations,"Offering a solution to recycle polyurethane foam waste, converting it into raw materials for reuse, significantly reducing landfill impact.",https://thaalinnovations.com,India,,2023,,Pre-Seed,Industry,Waste & recycling,R&D,,Devi Ramamoorthy,https://www.linkedin.com/in/devi-ramamoorthy-6b864928/,Founder,,,,,,,,,,,,,,,
Earthworks Biomat,Focuses on creating biodegradable materials from agro-waste,https://www.earthworks.bio,India,https://www.linkedin.com/company/earthworks-biomat-pvt-ltd/about/,2024,,Pre-Seed,Energy,Waste biomass,R&D,,Trupti Arabatti,https://www.linkedin.com/in/trupti-arabatti/,Founder and CEO,,,,,,,,,,,,,,,
Li Circle,Recycling end-of-life Lithium-ion batteries.,https://www.licircle.com,India,https://www.linkedin.com/company/licircle/about/,2020,,Seed,Industry,Waste & recycling,Pilot,Climate Collective,Santosh Kumar J,https://www.linkedin.com/in/santosh-kumar-j-096a19118/,Founder,,,,,,,,,,,,,,,
Eunoia Innovations Private Limited,"Developing unmanned surface vessels for automated waterbody cleaning and real-time water quality monitoring, optimized for both government and private sectors.",https://eunoiainnovations.in,India,https://www.linkedin.com/company/eunoia-innovations/about/,2021,,Seed,Industry,Wastewater,Prototype,"AIC T-hub, D Labs",Alankar Achadian,https://www.linkedin.com/in/alankars-ak/,Founder & Executive Officer,Aashish Sharma,https://www.linkedin.com/in/aashishsharma-designengineer/,COO,Deepak Cheran E,https://www.linkedin.com/in/deepakcheran-navalarchitect/,Co-founder,,,,,,,,,
Almericus,Aquaculture climate tech with blue carbon solutions that protect ecosystems while unlocking carbon credits.,https://www.almericus.in,India,https://www.linkedin.com/company/almericus/about/,2022,,Pre-Seed,Food & land use,Aquaculture,R&D,,Kumar Gurusamy,https://www.linkedin.com/in/kg-9444715b/,Founder & CEO,,,,,,,,,,,,,,,
ASMI Innovations,"Creating water purification systems that recycle RO waste, integrating IoT-based real-time monitoring to ensure water quality and sustainability.",,India,https://www.linkedin.com/company/asmi-innovations1/about/,2022,,Pre-Seed,Industry,Wastewater,R&D,,Dr. Swati Ghosh Acharyya,https://www.linkedin.com/in/dr-swati-ghosh-acharyya-b05904269/,Founder & Director,Priyabrata Patra,,Founder,,,,,,,,,,,,
NST Hitech Recycling,"Automotive circular economy by leveraging advanced, eco-efficient processes to minimize waste and slash steel scrap.",https://www.nstscrap.com,India,,2021,,Pre-Seed,Industry,Waste & recycling,Pilot,,Syed Sultan,,Founder,,,,,,,,,,,,,,,
Mati Carbon,Deploying enhanced rock weathering to remove CO₂ and restore soil health.,https://www.mati.earth,India,https://www.linkedin.com/company/maticarbon/posts/?feedView=all,2022,,Pre-Seed,Carbon,"Carbon removal, Crop yield",Pilot,Remove,Shantanu Agarwal,https://www.linkedin.com/in/shantanuagarwal/,Founder & CEO,,,,,,,,,,,,,,,
MittiLabs,Helping companies confidently invest in high-quality sustainable Rice projects.,https://www.mittilabs.earth,India,https://www.linkedin.com/company/mitti-labs/posts/?feedView=all,2023,6,Seed,Food & land use,"Sustainable finance, Crop yield",Launch,"Remove, Lightspeed Venture Partners",Devdut Dalal,https://www.linkedin.com/in/devdutdalal/,Co-Founder,Nathan Torbick,https://www.linkedin.com/in/nathantorbick/,Co-founder,Xavier Laguarta Soler,https://www.linkedin.com/in/xavier-laguarta-soler-2a145869/,Co-founder,,,,,,,,,
Greenie Energy,Provides AI-driven energy management solutions for distributed energy resources.,https://greenie-energy.com,India,https://www.linkedin.com/company/greenie-energy-technologies-pvt-ltd/,2020,0.724,Seed,Energy,"DERs - Distributed energy resources, Grid management",Pilot,AIC-Pinnacle,Istayak Ansari,https://www.linkedin.com/in/istayak-ansari-861a1678/,Co-founder & Director,,,,,,,,,,,,,,,
Vcrave Foods,"Specializes in plant-based mayonnaise, spreads, and healthy beverages.",https://www.vcravefoods.com,India,https://www.linkedin.com/company/vcravefoods/,2024,,Pre-Seed,Food & land use,Alternative foods,Prototype,,Suhail Jindran,https://www.linkedin.com/in/suhail-jindran/,Founder,,,,,,,,,,,,,,,
BioFizz,"Formulation technology that transforms agrochemicals into precisely dosed, solvent-free effervescent tablets.",https://biofizzag.com,India,https://www.linkedin.com/company/biofizz-ag-pvt-ltd/,2024,,Pre-Seed,Food & land use,"Fertilizer / pesticides, Crop yield",Launch,,Narender Kaushal,https://www.linkedin.com/in/narender-kaushal-4a6ba51b/,CEO,Yuvraj Patil,https://www.linkedin.com/in/yuvraj-patil-bb2582160/,CMD,,,,,,,,,,,,
Vyoum Biotech,Developing sprout protein isolates for the fitness and wellness industries.,https://vyoumbiotech.com,India,https://www.linkedin.com/company/vyoum-biotech/?originalSubdomain=in,2023,,Pre-Seed,Food & land use,Alternative foods,Prototype,SGSITS Incubation Forum,Vyoum Patidar,https://www.linkedin.com/in/vyoum-patidar-459a9028b/,CEO,,,,,,,,,,,,,,,
Fambo,Provides quality food ingredients to food service establishments using an AI-driven platform.,https://fambo.in,India,https://www.linkedin.com/company/famboinn/,2022,2.5,Pre-Series A,Food & land use,Consumer products,Pilot,"Ev2 Ventures, NIAM Agri-Business Incubator",Akshay Tripathi,https://www.linkedin.com/in/akshay-tripathi-641a3498/,Co-founder and CEO,,,,,,,,,,,,,,,
PlentiFarms,"Provides technology-driven agricultural solutions, including a marketplace and drone services for enhanced farming efficiency.",https://www.plentifarms.com,India,https://www.linkedin.com/company/plentifarms/,2022,,Pre-Seed,Food & land use,Crop yield,Launch,,Siva Subramanyam Mantha,https://www.linkedin.com/in/siva-subramanyam-mantha-8ab51313/,Founder,,,,,,,,,,,,,,,
Ingress Biosolutions,Offers microbial and natural solutions for enhancing soil health and crop yields.,https://ingressbio.com,India,https://www.linkedin.com/company/ingress-bio/,2020,,Pre-Seed,Food & land use,"Fertilizer / pesticides, Crop yield",Prototype,,Dr. Prasant Kumar,https://www.linkedin.com/in/prasant-kumar-52012a11/,Co-founder and CTO,,,,,,,,,,,,,,,
Agriwyz,"Integrates smart technologies like IoT, AI, and ML to improve irrigation and farming efficiency.",http://www.agriwyz.com,India,https://www.linkedin.com/company/agriwyz/,2020,0.033,Seed,Food & land use,Crop yield,Prototype,,Utkarsh Madhu,https://www.linkedin.com/in/utkarsh-madhu-2107b113b/,Founder and Director,,,,,,,,,,,,,,,
Vedic Biochar,"Develops indigenous, nature-based agricultural solutions like biochar, to enhance soil health and promote sustainable farming.",https://www.earthanalyticalab.com,India,https://www.linkedin.com/company/vedic-biochar/,2022,,Pre-Seed,Food & land use,Crop yield,Prototype,,Nishaant Veer Dixit,https://www.linkedin.com/in/nishaant-veer-dixit/,Co-founder,,,,,,,,,,,,,,,
Agaram Biotech,"Develops organic solutions to enhance soil and plant health, promoting sustainable agriculture with eco-friendly inputs.",https://www.agarambiotech.in,India,https://www.linkedin.com/company/agaram-biotech/,2022,,Pre-Seed,Food & land use,Crop yield,R&D,,Praveen Ramachandran,https://www.linkedin.com/in/praveen-ramachandran-1045b5146/,Managing Director,,,,,,,,,,,,,,,
AgroKisan,Provides hydroponic fodder production systems and farm mechanization solutions.,https://www.agrokisan.com,India,https://www.linkedin.com/company/agrokisan/,2023,,Pre-Seed,Food & land use,Crop yield,Launch,,Pintu Kumar,https://www.linkedin.com/in/pintu-kumar01/,Founder & CEO,,,,,,,,,,,,,,,
Greengine Environmental Technologies,Develops microalgae-based carbon capture technology for industrial and ambient air CO2 emissions.,https://www.greengine.co.in,India,https://www.linkedin.com/company/greengine/?viewAsMember=true,2015,,Seed,Carbon,"Carbon capture & storage, Carbon removal",Prototype,Startup Incubation and Innovation Centre (SIIC-IIT Kanpur),Nitin Srivastava,https://www.linkedin.com/in/nitin-srivastava-58909126/,Founder,,,,,,,,,,,,,,,
GPS Renewables,"Specializes in biogas engineering, offering biofuel products and solutions for urban waste processing.",https://www.gpsrenewables.com,India,https://www.linkedin.com/company/gps-renewables-pvt-ltd/,2012,85.5,Series B,Energy,"Waste biomass, Renewables development",Scale-up,"SBI Ventures, Spark Capital",Mainak Chakraborty,https://www.linkedin.com/in/mainakchakraborty/,Co-Founder & CEO,,,,,,,,,,,,,,,
Chloropod,Offers automated vertical farming systems and delivers seedlings to farmers for sustainable agriculture.,https://www.chloropod.com,India,https://www.linkedin.com/company/ankurplus/,2022,0.045,Seed,Food & land use,Indoor farming,Pilot,,,,,,,,,,,,,,,,,,,
BacAlt,Manufactures bacterial nanocellulose and polymers using agro-industrial waste for various industries.,https://bacalt.bio,India,https://www.linkedin.com/company/bacalt/,2023,,Pre-Seed,"Food & land use, Industry","Chemicals & plastics, Food waste, Crop yield",Prototype,,Shruti Kutmutia,https://www.linkedin.com/in/shruti-kutmutia-86b63b101/,Co-founder and CEO,,,,,,,,,,,,,,,
Destiny CropCare,AI-driven weather intelligence and farm management platform for farmers.,https://www.destinycropcare.in,India,https://www.linkedin.com/company/destiny-cropcare/,2024,,Pre-Seed,Food & land use,Crop yield,R&D,,Tarun Singh,https://www.linkedin.com/in/tarun-singh-139b9430a/,Managing Director,,,,,,,,,,,,,,,
BuyMyEV,"Manufactures electric scooters in India, aiming to promote sustainable urban transportation.",https://www.buymyev.in,India,https://www.linkedin.com/company/buymyev/,2019,1.5,Seed,Transportation,Autos,Launch,,Vivek Sharanappa,https://www.linkedin.com/in/viveksharanappa/,Co-Founder & CEO,Varsha Vasudeva,https://www.linkedin.com/in/varshavasudeva/,Co-founder & COO,,,,,,,,,,,,
TraceX,"Provides blockchain-powered platforms for supply chain transparency, enabling agribusinesses and carbon developers to achieve sustainability and compliance.",https://tracextech.com,India,https://www.linkedin.com/company/tracextech/,2019,1,Pre-Series A,Climate management,Emissions reporting,Pilot,"Indigram Labs Foundation, NABVentures, Social Alpha",Srivatsa Sreenivasarao,https://www.linkedin.com/in/srivatsashandilya/,Founder & CEO,,,,,,,,,,,,,,,
Earthtech,Offers AI-powered geospatial analytics for actionable insights on environmental changes.,,India,https://www.linkedin.com/company/earthtechindia/,2024,,Pre-Seed,Climate management,Earth observation,R&D,,Snigdha Narra,https://www.linkedin.com/in/snigdhanarra/,Founder,,,,,,,,,,,,,,,
Prithu Earth,"Integrates AI and blockchain with regenerative agriculture to generate high-integrity carbon credits, fostering sustainability and economic resilience.",https://prithu.earth,India,https://www.linkedin.com/company/prithuearth/posts/?feedView=all,2024,,Pre-Seed,"Carbon, Food & land use",Carbon marketplace,R&D,,Sunny Vaish,https://www.linkedin.com/in/sunnyvaish/,Co-Founder & CEO,Prabal Tomar,https://www.linkedin.com/in/prabal-tomar-783a0618/,Co-founder & COO,,,,,,,,,,,,
Terra Crop Science,Providing fertilizers and agricultural products to enhance crop yield and promote sustainable farming practices,,India,https://www.linkedin.com/company/terra-crop-science-india/,2024,,Pre-Seed,Food & land use,Fertilizer / pesticides,R&D,,Amogh B.M.,https://www.linkedin.com/in/amogh-b-m-44a20270/,Managing Director,,,,,,,,,,,,,,,
Innocule,Provides specialty chemical solutions to enhance efficiency in mineral processing.,https://www.innocule.com,India,https://www.linkedin.com/company/innocule/?originalSubdomain=in,2014,,Series A,Industry,Mining,Scale-up,"Prospect Innovation, Startup Odisha, Artha99",Gyan Ranjan Das,https://www.linkedin.com/in/gyan-ranjan-das/,Founder,Surbhi Sarna,https://www.linkedin.com/in/surbhi-sarna-126b88267/,Co-founder,,,,,,,,,,,,
RenewCred,"Carbon credits standard and registry, building the data and governance layer for voluntary carbon markets.",https://www.renewcred.com,India,https://www.linkedin.com/company/letsrenewcred/,2024,0.38,Seed,Carbon,Carbon marketplace,Launch,"Conquest, VentureStudio",Abhimanyu Rathi,https://www.linkedin.com/in/abhimanyurathi/,Founder & CEO,,,,,,,,,,,,,,,
General Aeronautics,Provides drone-based crop protection solutions for sustainable precision agriculture.,https://generalaeronautics.com,India,https://www.linkedin.com/company/general-aeronautics-pvt-ltd/?originalSubdomain=in,2016,3.84,Series A,Food & land use,Crop yield,Scale-up,Mela Ventures,Abhishek Burman,https://www.linkedin.com/in/abhishek-burman-241536a/,Co-founder & CEO,,,,,,,,,,,,,,,
Albatross Energetics,Develops sustainable HVAC technology using liquid desiccants for efficient dehumidification and improved humidity control.,https://www.albatross-energetics.in,India,https://www.linkedin.com/company/albatross-energetics/,2021,0.119,Seed,Built environment,Heating & cooling,Pilot,Social Alpha (India),SRIHARI BALAJI,https://www.linkedin.com/in/srihari-balaji-ab7235157/,Co-founder & CTO,Sudarsan M S,https://www.linkedin.com/in/sudarsan-m-s/,Co-founder & CEO,,,,,,,,,,,,
Gati Drives,"Develops innovative, efficient, and cost-effective motor and drive technologies for enhanced transportation solutions.",https://gatidrives.com,India,https://www.linkedin.com/company/gati-drives/,2023,,Pre-Seed,Transportation,EV charging / fleet management,Pilot,MeitY Startup Hub,Gajendra Jain,https://www.linkedin.com/in/gajendra-jain-959133177/,Co-founder,Suyash Mishra,https://www.linkedin.com/in/suyash-mishra-b69402185/,Co-Founder & CEO,,,,,,,,,,,,
Thooshan,"Produces biodegradable tableware from agri-waste, promoting sustainability and responsible tourism.",https://thooshan.com,India,https://www.linkedin.com/company/vajra-global-ltd/,2018,,Seed,Industry,"Consumer products, Waste & recycling",Launch,,Vinay Balakrishnan,https://www.linkedin.com/in/vinayakumarbalakrishnan/,Chairman & Managing Director,,,,,,,,,,,,,,,
Baud Resources,"Integrates gravity energy storage and green hydrogen for affordable, scalable, and clean energy solutions.",https://www.baudresources.com,India,https://www.linkedin.com/company/baud-resources/,2017,,Seed,Energy,"Energy storage, Hydrogen",Launch,"IIT Mandi Catalyst, Startup Incubation and Innovation Centre (SIIC-IIT Kanpur)",Dishant Mishra,https://www.linkedin.com/in/dishant-mishra-5006ba145/,Co-founder & CEO,,,,,,,,,,,,,,,
Agroxa Bio Innovations,"Provides eco-friendly bio-fertilizers, bio-pesticides, and precision agriculture solutions for sustainable farming.",https://agroxa.in,India,https://www.linkedin.com/company/agroxa/,2019,,Seed,Food & land use,"Crop yield, Fertilizer / pesticides, Sustainable finance",Launch,,Jeet Patel,https://www.linkedin.com/in/jeet-patel11/,Founder & CEO,,,,,,,,,,,,,,,
Hydrovert Energy,Develops hydrogen fuel cell powertrains and generators for sustainable mobility and power solutions.,https://hydrovert.in,India,https://www.linkedin.com/company/hydrovert-energy/,2021,,Seed,Energy,Hydrogen,R&D,Venture Center,Supriya Patwardhan,https://www.linkedin.com/in/supriyapatwardhan/,Co-founder,Satyajit Phadke,https://www.linkedin.com/in/satyajitphadke/,Co-Founder,,,,,,,,,,,,
Nexus Power,"Manufactures rechargeable, bio-organic batteries from agricultural leftovers, reducing reliance on lithium and minimizing air pollution.",https://www.nexuspower.in,India,https://www.linkedin.com/company/nexus-power/,2020,,Seed,Energy,Batteries,Launch,JITO Incubation & Innovation Foundation,Nishita Baliarsingh,https://www.linkedin.com/in/nishita-baliarsingh-a3b4b910b/,Co-Founder and CEO,Nikita Baliarsingh,https://www.linkedin.com/in/nikita-baliarsingh-10316a141/,Co-Founder & CIO,,,,,,,,,,,,
Shivchhaya Bio-Tech,"Specializes in tissue culture technology for developing disease-free, genetically stable plants to enhance crop yield.",https://shivchhayabiotech.com,India,https://www.linkedin.com/company/shivchhayabiotech/,2023,,Pre-Seed,Food & land use,"Crop yield, Fertilizer / pesticides, Indoor farming",Prototype,,Suraj Barot,https://www.linkedin.com/in/suraj-barot-3ab93a76/,Managing Director,,,,,,,,,,,,,,,
Proleri,India's 'first' leaf protein company on a mission to unlock RuBisCO for the world.,https://proleri.com,India,https://www.linkedin.com/company/proleri-technologies/about/,2023,,Pre-Seed,Food & land use,Crop yield,Prototype,,Arjun Ayyagari,https://www.linkedin.com/in/arjun-ayyagari-507a3418/,Co-Founder,Vaibhaw Dwivedi,https://www.linkedin.com/in/vaibhaw-dwivedi-69ab275/,Co-founder and COO,,,,,,,,,,,,
Cancrie,"Produces high-quality carbon materials for energy storage devices, enhancing performance in various battery chemistries.",https://www.cancrie.co,India,https://www.linkedin.com/company/cancrie/,2020,1.32,Seed,Energy,Energy storage,Pilot,"IIMA Ventures, Techstars, Roots Ventures",Mahi Singh,https://www.linkedin.com/in/mahising/,Co-founder,Akshay Jain,https://www.linkedin.com/in/akshayjain4/,Co-Founder & CEO,,,,,,,,,,,,
Neoperk,Focuses on enhancing crop yield through sustainable practices.,https://neoperk.co,India,https://www.linkedin.com/company/neoperk-technologies-private-limited/,2019,0.024,Seed,Food & land use,"Crop yield, Fertilizer / pesticides",Launch,"MeitY Startup Hub, NSRCEL-IIMB, Startup Incubation and Innovation Centre (SIIC-IIT Kanpur)",Satyendra Gupta,https://www.linkedin.com/in/satyendra-gupta-389415172/,Founder & CEO,,,,,,,,,,,,,,,
Thermistance,Provides thermal management solutions for efficient heat dissipation.,https://www.thermistance.com,India,https://www.linkedin.com/company/thermistance/,2020,,Pre-Seed,"Industry, Built environment","Manufacturing, Heating & cooling",Prototype,,,,,,,,,,,,,,,,,,,
Mini Mines,Provides sustainable and efficient lithium-ion battery recycling.,https://m-mines.com,India,https://www.linkedin.com/company/mini-mines/,2020,4.5,Series A,Industry,"Waste & recycling, Mining",Launch,"MARL Accelerator, Micelio Fund, We Founder Circle",Anupam Kumar,https://www.linkedin.com/in/anupamk121/,Co-founder and CEO,,,,,,,,,,,,,,,
Ecoterra Biodesign,"Develops sustainable acoustic panels from recycled materials, enhancing sound quality while reducing environmental impact.",https://ecoterrabiodesign.com,India,https://www.linkedin.com/company/ecoterra-biodesign/,2021,1,Seed,"Built environment, Industry","Construction, Waste & recycling",Launch,"Gujarat University Startup and Entrepreneurship Council (GUSEC), NSRCEL-IIMB",Dinta Vaghasiya,https://www.linkedin.com/in/dinta-vaghasiya-936911136/,Founder,,,,,,,,,,,,,,,
Zewa Ecosystems,"Offers premium nutrition for fish, enhancing health and color.",https://zewafeeds.com,India,https://www.linkedin.com/company/zewa/,2021,,Seed,Food & land use,Alternative foods,Pilot,,Nik Mulakkal,https://www.linkedin.com/in/nik-mulakkal/,Founder and CEO,,,,,,,,,,,,,,,
BetterCar,IoT-based fuel management solutions for efficient and sustainable fleet operations.,https://bettercar.vercel.app,India,https://www.linkedin.com/company/bettercar/,2024,,Pre-Seed,Transportation,EV charging / fleet management,R&D,,Shashank Bhutiya,https://www.linkedin.com/in/shashankbhutiya/,Founder,,,,,,,,,,,,,,,
Cellarim Labs,"Greener, faster, and better bio-manufacturing solutions for chemical production.",https://www.cellarim.com,India,https://www.linkedin.com/company/cellarim-labs/,2024,0.155,Seed,Industry,Chemicals & plastics,Prototype,100X.VC,"Hitesh Rafalia, PhD",https://www.linkedin.com/in/hitesh-rafalia-phd-5417a115,Founder,Nisa Mehreen,https://www.linkedin.com/in/nisamehreen/,Co-founder and CEO,Antony Henry,https://www.linkedin.com/in/antony-h/,Co-founder & COO,,,,,,,,,
BiOM FARMS,"Cultivated chicken meat, serum-free media, and recombinant proteins for cell culture.",https://biomfarms.com,India,https://www.linkedin.com/company/biom-farms/,2024,,Pre-Seed,Food & land use,Alternative foods,Prototype,,Yadidya Mandalapu,https://www.linkedin.com/in/yadidya-mandalapu/,Founder,,,,,,,,,,,,,,,
PMI Electro Mobility,"Manufactures electric buses, driving sustainable public transportation in India.",https://www.pmielectro.com,India,https://www.linkedin.com/company/pmi-electro-mobility/,2017,57.7,Series C and Beyond,Transportation,Autos,Scale-up,Piramal Group,Satish Jain,https://www.linkedin.com/in/satish-jain-2a5709278/,Founder & MD,Aanchal Jain,https://www.linkedin.com/in/pmi-aanchal-jain/,CEO,,,,,,,,,,,,
VidyutTech,EV tailored platform with the goal to make ownership of electric vehicle simple and stress free.,https://www.vidyuttech.in,India,https://www.linkedin.com/company/vidyuttech/,2021,17.6,Series A,Transportation,Autos,Launch,"3one4 Capital, Zephyr Peacock India",Xitij Kothi,https://www.linkedin.com/in/xitijkothi/,Co-Founder,Gaurav Srivastava,https://www.linkedin.com/in/thegauravsrivastava/,Co-Founder,,,,,,,,,,,,
Cargofirst,Tech-enabled agri quality inspection and contract management for efficient supply chain operations.,https://cargofirst.net,India,https://www.linkedin.com/company/cargofirst-qaho-corporation-private-limited/,2022,,Pre-Seed,Food & land use,Crop yield,Launch,,Vinay H,https://www.linkedin.com/in/vinay-h-a98536201/,Founder & CEO,,,,,,,,,,,,,,,
Plantables,"Offers eco-friendly seed paper and plantable products, promoting eco-innovation.",https://plantables.store,India,https://www.linkedin.com/company/plantables/,2019,,Seed,Industry,"Packaging, Chemicals & plastics",Pilot,Social Innovation Lab,Sumat Nanda,https://www.linkedin.com/in/sumat-nanda-8a668928/,Co-founder,Garima Capoor,https://www.linkedin.com/in/garima-capoor-9498a93a/,Co-founder,,,,,,,,,,,,
Refillable,"Provides sustainable, reusable packaging solutions.",https://www.refillable.store,India,,2020,,Seed,Industry,"Packaging, Chemicals & plastics",Prototype,"Third Derivative, Climate Collective, The Incubation Network",Lokesh Sambhwani,https://www.linkedin.com/in/lokesh-sambhwani-1302/,Co-founder,Rahul Batra,https://www.linkedin.com/in/rahul-batra-1461b3115/,Co-founder,,,,,,,,,,,,
Bioorgo,Specializes in semiochemicals for sustainable pest control and agricultural solutions.,https://bioorgo.com,India,https://www.linkedin.com/company/bioorgo-kempmann-bioorganics-llp/,2016,,Seed,Food & land use,Fertilizer / pesticides,Pilot,NaaViC,Vivek Kempraj,https://www.linkedin.com/in/vivek-kempraj/,CEO/CTO,Vijeth V Arya,https://www.linkedin.com/in/vijeth-v-arya-5a11002b/,Co-Founder & Managing Director,,,,,,,,,,,,
DeyHaat,Offers farmers AI-driven solutions for crop yield and market access.,https://deyhaat.com,India,https://www.linkedin.com/company/deyhaat/,2015,,Seed,Food & land use,Crop yield,Launch,"Climate Collective, Startup Nexus",Sunit Arya,https://www.linkedin.com/in/sunitarya/,Founder,Agnes C.,https://www.linkedin.com/in/agnesclaire/,Co-founder,,,,,,,,,,,,
Oorja Development Solutions,Provides solar-powered irrigation and climate-smart advisory services to empower smallholder farmers.,https://oorjasolutions.org,India,https://www.linkedin.com/company/oorjasolutions/,2016,2.4,Seed,Energy,Solar,Pilot,1to4 Foundation,Amit Saraogi,https://www.linkedin.com/in/amit-saraogi/,Co-founder & CEO,,,,,,,,,,,,,,,
rePurpose Global,Partners with brands to finance innovative solutions for plastic waste recovery.,https://repurpose.global,India,https://www.linkedin.com/company/repurposeglobal/,2016,20.3,Series A,Industry,"Waste & recycling, Chemicals & plastics",Scale-up,"Plug and Play, MassChallenge, 10X Capital",Aditya Siroya,https://www.linkedin.com/in/aditya-siroya/,CIO & Co-founder,Svanika Balasubramanian,https://www.linkedin.com/in/svanikab/,Founder & CEO,Peter Wang Hjemdahl,https://www.linkedin.com/in/peter-wang-hjemdahl/,Co-founder & CIO,,,,,,,,,
